SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed
1,1/22/2020,Anhui,Mainland China,1/22/2020 17:00,1
2,1/22/2020,Beijing,Mainland China,1/22/2020 17:00,14
3,1/22/2020,Chongqing,Mainland China,1/22/2020 17:00,6
4,1/22/2020,Fujian,Mainland China,1/22/2020 17:00,1
5,1/22/2020,Gansu,Mainland China,1/22/2020 17:00,0
6,1/22/2020,Guangdong,Mainland China,1/22/2020 17:00,26
7,1/22/2020,Guangxi,Mainland China,1/22/2020 17:00,2
8,1/22/2020,Guizhou,Mainland China,1/22/2020 17:00,1
9,1/22/2020,Hainan,Mainland China,1/22/2020 17:00,4
10,1/22/2020,Hebei,Mainland China,1/22/2020 17:00,1
11,1/22/2020,Heilongjiang,Mainland China,1/22/2020 17:00,0
12,1/22/2020,Henan,Mainland China,1/22/2020 17:00,5
13,1/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0
14,1/22/2020,Hubei,Mainland China,1/22/2020 17:00,444
15,1/22/2020,Hunan,Mainland China,1/22/2020 17:00,4
16,1/22/2020,Inner Mongolia,Mainland China,1/22/2020 17:00,0
17,1/22/2020,Jiangsu,Mainland China,1/22/2020 17:00,1
18,1/22/2020,Jiangxi,Mainland China,1/22/2020 17:00,2
19,1/22/2020,Jilin,Mainland China,1/22/2020 17:00,0
20,1/22/2020,Liaoning,Mainland China,1/22/2020 17:00,2
21,1/22/2020,Macau,Macau,1/22/2020 17:00,1
22,1/22/2020,Ningxia,Mainland China,1/22/2020 17:00,1
23,1/22/2020,Qinghai,Mainland China,1/22/2020 17:00,0
24,1/22/2020,Shaanxi,Mainland China,1/22/2020 17:00,0
25,1/22/2020,Shandong,Mainland China,1/22/2020 17:00,2
26,1/22/2020,Shanghai,Mainland China,1/22/2020 17:00,9
27,1/22/2020,Shanxi,Mainland China,1/22/2020 17:00,1
28,1/22/2020,Sichuan,Mainland China,1/22/2020 17:00,5
29,1/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1
30,1/22/2020,Tianjin,Mainland China,1/22/2020 17:00,4
31,1/22/2020,Tibet,Mainland China,1/22/2020 17:00,0
32,1/22/2020,Washington,US,1/22/2020 17:00,1
33,1/22/2020,Xinjiang,Mainland China,1/22/2020 17:00,0
34,1/22/2020,Yunnan,Mainland China,1/22/2020 17:00,1
35,1/22/2020,Zhejiang,Mainland China,1/22/2020 17:00,10
36,1/22/2020,,Japan,1/22/2020 17:00,2
37,1/22/2020,,Thailand,1/22/2020 17:00,2
38,1/22/2020,,South Korea,1/22/2020 17:00,1
39,1/23/2020,Anhui,Mainland China,1/23/2020 17:00,9
40,1/23/2020,Beijing,Mainland China,1/23/2020 17:00,22
41,1/23/2020,Chongqing,Mainland China,1/23/2020 17:00,9
42,1/23/2020,Fujian,Mainland China,1/23/2020 17:00,5
43,1/23/2020,Gansu,Mainland China,1/23/2020 17:00,2
44,1/23/2020,Guangdong,Mainland China,1/23/2020 17:00,32
45,1/23/2020,Guangxi,Mainland China,1/23/2020 17:00,5
46,1/23/2020,Guizhou,Mainland China,1/23/2020 17:00,3
47,1/23/2020,Hainan,Mainland China,1/23/2020 17:00,5
48,1/23/2020,Hebei,Mainland China,1/23/2020 17:00,1
49,1/23/2020,Heilongjiang,Mainland China,1/23/2020 17:00,2
50,1/23/2020,Henan,Mainland China,1/23/2020 17:00,5
51,1/23/2020,Hong Kong,Hong Kong,1/23/2020 17:00,2
52,1/23/2020,Hubei,Mainland China,1/23/2020 17:00,444
53,1/23/2020,Hunan,Mainland China,1/23/2020 17:00,9
54,1/23/2020,Inner Mongolia,Mainland China,1/23/2020 17:00,0
55,1/23/2020,Jiangsu,Mainland China,1/23/2020 17:00,5
56,1/23/2020,Jiangxi,Mainland China,1/23/2020 17:00,7
57,1/23/2020,Jilin,Mainland China,1/23/2020 17:00,1
58,1/23/2020,Liaoning,Mainland China,1/23/2020 17:00,3
59,1/23/2020,Macau,Macau,1/23/2020 17:00,2
60,1/23/2020,Ningxia,Mainland China,1/23/2020 17:00,1
61,1/23/2020,Qinghai,Mainland China,1/23/2020 17:00,0
62,1/23/2020,Shaanxi,Mainland China,1/23/2020 17:00,3
63,1/23/2020,Shandong,Mainland China,1/23/2020 17:00,6
64,1/23/2020,Shanghai,Mainland China,1/23/2020 17:00,16
65,1/23/2020,Shanxi,Mainland China,1/23/2020 17:00,1
66,1/23/2020,Sichuan,Mainland China,1/23/2020 17:00,8
67,1/23/2020,Taiwan,Taiwan,1/23/2020 17:00,1
68,1/23/2020,Tianjin,Mainland China,1/23/2020 17:00,4
69,1/23/2020,Tibet,Mainland China,1/23/2020 17:00,0
70,1/23/2020,Washington,US,1/23/2020 17:00,1
71,1/23/2020,Xinjiang,Mainland China,1/23/2020 17:00,2
72,1/23/2020,Yunnan,Mainland China,1/23/2020 17:00,2
73,1/23/2020,Zhejiang,Mainland China,1/23/2020 17:00,27
74,1/23/2020,,Japan,1/23/2020 17:00,1
75,1/23/2020,,Thailand,1/23/2020 17:00,3
76,1/23/2020,,South Korea,1/23/2020 17:00,1
77,1/23/2020,,Singapore,1/23/2020 17:00,1
78,1/23/2020,,Philippines,1/23/2020 17:00,0
79,1/23/2020,,Malaysia,1/23/2020 17:00,0
80,1/23/2020,,Vietnam,1/23/2020 17:00,2
81,1/23/2020,,Australia,1/23/2020 17:00,0
82,1/23/2020,,Mexico,1/23/2020 17:00,0
83,1/23/2020,,Brazil,1/23/2020 17:00,0
84,1/23/2020,,Colombia,1/23/2020 17:00,0
85,1/24/2020,Hubei,Mainland China,1/24/2020 17:00,549
86,1/24/2020,Guangdong,Mainland China,1/24/2020 17:00,53
87,1/24/2020,Zhejiang,Mainland China,1/24/2020 17:00,43
88,1/24/2020,Beijing,Mainland China,1/24/2020 17:00,36
89,1/24/2020,Chongqing,Mainland China,1/24/2020 17:00,27
90,1/24/2020,Hunan,Mainland China,1/24/2020 17:00,24
91,1/24/2020,Guangxi,Mainland China,1/24/2020 17:00,23
92,1/24/2020,Shanghai,Mainland China,1/24/2020 17:00,20
93,1/24/2020,Jiangxi,Mainland China,1/24/2020 17:00,18
94,1/24/2020,Sichuan,Mainland China,1/24/2020 17:00,15
95,1/24/2020,Shandong,Mainland China,1/24/2020 17:00,15
96,1/24/2020,Anhui,Mainland China,1/24/2020 17:00,15
97,1/24/2020,Fujian,Mainland China,1/24/2020 17:00,10
98,1/24/2020,Henan,Mainland China,1/24/2020 17:00,9
99,1/24/2020,Jiangsu,Mainland China,1/24/2020 17:00,9
100,1/24/2020,Hainan,Mainland China,1/24/2020 17:00,8
101,1/24/2020,Tianjin,Mainland China,1/24/2020 17:00,8
102,1/24/2020,Yunnan,Mainland China,1/24/2020 17:00,5
103,1/24/2020,Shaanxi,Mainland China,1/24/2020 17:00,5
104,1/24/2020,Heilongjiang,Mainland China,1/24/2020 17:00,4
105,1/24/2020,Liaoning,Mainland China,1/24/2020 17:00,4
106,1/24/2020,Guizhou,Mainland China,1/24/2020 17:00,3
107,1/24/2020,Jilin,Mainland China,1/24/2020 17:00,3
108,1/24/2020,Taiwan,Taiwan,1/24/2020 17:00,3
109,1/24/2020,Ningxia,Mainland China,1/24/2020 17:00,2
110,1/24/2020,Hong Kong,Hong Kong,1/24/2020 17:00,2
